season,era,team_a,team_b,is_real,salary_similarity,salary_magnitude,roster_slot_distance,record_gap,disposition_pair,value_moving,value_gap,complete
2016-17,2017,CHA,LAL,0,0.9445343934451306,18.371765503961278,2,,1.0,0.35732301775217257,0.35732301775217257,1
2016-17,2017,CHA,MIA,0,0.883380612768389,18.438701451238334,3,,0.0,-0.030711585172606748,0.030711585172606748,1
2016-17,2017,CHA,NOP,0,0.8993258785795546,18.420812145318827,1,,0.0,-3.3650902668994003,3.3650902668994003,1
2016-17,2017,CHA,NYK,0,0.8702722289916422,18.45365153427072,0,,0.0,-2.743016893070171,2.743016893070171,1
2016-17,2017,CHA,ORL,0,0.8648920535554088,18.459852898234377,2,,1.0,-2.4678608601268266,2.4678608601268266,1
2016-17,2017,CHA,PHI,0,0.9525247846155633,18.314702326321317,11,,1.0,0.050210038894016096,0.050210038894016096,1
2016-17,2017,CHA,PHX,0,0.9313526505623112,18.314702326321317,1,,1.0,0.5689577274224301,0.5689577274224301,1
2016-17,2017,CHA,POR,0,0.803988375437354,18.53287279246101,2,,0.0,-1.5087488283509676,1.5087488283509676,1
2016-17,2017,CHA,SAC,0,0.9474170524800472,18.368718215151095,1,,0.0,-6.291506858408208,6.291506858408208,1
2016-17,2017,BKN,CHI,0,0.8430753231811465,18.33888904435041,7,,-2.0,1.8914090008474655,1.8914090008474655,1
2016-17,2017,CHI,DEN,0,0.889491478379939,18.33888904435041,5,,1.0,-1.2285190850825696,1.2285190850825696,1
2016-17,2017,CHI,DET,0,0.8457168511931352,18.50645970933469,2,,1.0,-1.184679676163658,1.184679676163658,0
2016-17,2017,CHI,LAL,0,0.967658096723251,18.371765503961278,3,,2.0,0.41541095284315366,0.41541095284315366,1
2016-17,2017,CHI,MIA,0,0.9050071742923099,18.438701451238334,4,,1.0,0.04267219053487728,0.04267219053487728,1
2016-17,2017,CHI,NOP,0,0.9213428055553501,18.420812145318827,2,,1.0,-1.8758267058686398,1.8758267058686398,1
2016-17,2017,CHI,NYK,0,0.8915778764450828,18.45365153427072,1,,1.0,-1.2537533320394103,1.2537533320394103,1
2016-17,2017,CHI,ORL,0,0.8860659857624431,18.459852898234377,1,,2.0,-0.36041458585556907,0.36041458585556907,1
2016-17,2017,CHI,PHI,0,0.9297627154931207,18.33888904435041,12,,2.0,5.0541864003280494,5.0541864003280494,1
2016-17,2017,CHI,PHX,0,0.9090965226884045,18.33888904435041,2,,2.0,2.9399916280617426,2.9399916280617426,1
2016-17,2017,CHI,POR,0,0.8236712887983606,18.53287279246101,1,,1.0,-1.4506608932599865,1.4506608932599865,1
2016-17,2017,CHI,SAC,0,0.9706113278332958,18.368718215151095,2,,1.0,0.6357607520623155,0.6357607520623155,0
2016-17,2017,BKN,CLE,0,0.6158846380560932,18.652885676665786,10,,-2.0,2.2384573375571133,2.2384573375571133,0
2016-17,2017,CLE,DEN,0,0.6497926367349034,18.652885676665786,8,,1.0,-0.22831739997091738,0.22831739997091738,1
