season,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS
2012-13,1610612737,Atlanta Hawks,82,44,38,0.537,3971.0,3084,6644,706,1901,1158,1619,758,2593,3351,2007,1219.0,664,369,1473,8032,33.0
2012-13,1610612738,Boston Celtics,81,41,40,0.506,3968.0,3001,6459,498,1390,1318,1698,654,2533,3187,1843,1181.0,667,365,1717,7818,-18.0
2012-13,1610612751,Brooklyn Nets,82,49,33,0.598,3971.0,2942,6544,628,1760,1432,1958,1047,2460,3507,1668,1206.0,599,391,1500,7944,146.0
2012-13,1610612766,Charlotte Bobcats,82,21,61,0.256,3961.0,2823,6649,469,1399,1546,2060,917,2389,3306,1587,1153.0,591,479,1561,7661,-757.0
2012-13,1610612741,Chicago Bulls,82,45,37,0.549,3966.0,2926,6698,446,1265,1343,1738,1026,2514,3540,1886,1171.0,588,417,1617,7641,26.0
2012-13,1610612739,Cleveland Cavaliers,82,24,58,0.293,3946.0,2993,6901,547,1581,1380,1826,1004,2359,3363,1694,1149.0,647,334,1737,7913,-384.0
2012-13,1610612742,Dallas Mavericks,82,41,41,0.5,3996.0,3182,6892,606,1628,1323,1669,767,2670,3437,1906,1144.0,648,454,1698,8293,-49.0
2012-13,1610612743,Denver Nuggets,82,57,25,0.695,3981.0,3339,6983,521,1518,1505,2148,1092,2601,3693,2002,1253.0,762,533,1682,8704,417.0
2012-13,1610612765,Detroit Pistons,82,29,53,0.354,3961.0,2979,6638,513,1440,1307,1870,991,2463,3454,1742,1241.0,574,400,1623,7778,-327.0
2012-13,1610612744,Golden State Warriors,82,47,35,0.573,3961.0,3130,6840,658,1632,1378,1744,885,2801,3686,1845,1236.0,567,346,1753,8296,73.0
2012-13,1610612745,Houston Rockets,82,45,37,0.549,3956.0,3124,6782,867,2369,1573,2087,909,2652,3561,1902,1348.0,679,359,1662,8688,285.0
2012-13,1610612754,Indiana Pacers,81,49,32,0.605,3918.0,2845,6525,555,1599,1429,1915,1043,2671,3714,1645,1227.0,580,513,1623,7674,326.0
2012-13,1610612746,Los Angeles Clippers,82,56,26,0.683,3946.0,3160,6608,627,1752,1342,1888,938,2475,3413,1958,1197.0,784,461,1716,8289,529.0
2012-13,1610612747,Los Angeles Lakers,82,45,37,0.549,3951.0,3041,6640,715,2015,1584,2289,942,2732,3674,1818,1232.0,576,429,1467,8381,95.0
2012-13,1610612763,Memphis Grizzlies,82,56,26,0.683,3961.0,2964,6679,382,1107,1349,1746,1059,2445,3504,1715,1144.0,703,436,1660,7659,340.0
2012-13,1610612748,Miami Heat,82,66,16,0.805,3976.0,3148,6348,717,1809,1423,1887,676,2490,3166,1890,1143.0,710,441,1533,8436,645.0
2012-13,1610612749,Milwaukee Bucks,82,38,44,0.463,3966.0,3128,7197,601,1670,1251,1700,1068,2537,3605,1876,1156.0,685,550,1554,8108,-123.0
2012-13,1610612750,Minnesota Timberwolves,82,31,51,0.378,3946.0,2943,6702,450,1475,1515,2042,973,2473,3446,1836,1214.0,700,387,1509,7851,-194.0
2012-13,1610612740,New Orleans Hornets,82,27,55,0.329,3956.0,2955,6589,535,1474,1269,1636,988,2426,3414,1721,1193.0,520,440,1673,7714,-317.0
2012-13,1610612752,New York Knicks,82,54,28,0.659,3946.0,2996,6689,891,2371,1313,1729,890,2436,3326,1579,988.0,672,294,1650,8196,347.0
2012-13,1610612760,Oklahoma City Thunder,82,60,22,0.732,3966.0,3126,6504,598,1588,1819,2196,854,2725,3579,1753,1253.0,679,624,1654,8669,755.0
2012-13,1610612753,Orlando Magic,82,20,62,0.244,3956.0,3093,6904,506,1537,1026,1359,890,2612,3502,1871,1191.0,528,358,1591,7718,-573.0
2012-13,1610612755,Philadelphia 76ers,82,34,48,0.415,3951.0,3059,6895,518,1438,1004,1377,896,2493,3389,1867,1070.0,609,384,1505,7640,-274.0
2012-13,1610612756,Phoenix Suns,82,25,57,0.305,3961.0,3061,6917,480,1455,1203,1618,959,2454,3413,1855,1278.0,659,434,1688,7805,-530.0
2012-13,1610612757,Portland Trail Blazers,82,33,49,0.402,3971.0,3009,6715,673,1904,1304,1680,874,2474,3348,1784,1203.0,538,353,1518,7995,-260.0
2012-13,1610612758,Sacramento Kings,82,28,54,0.341,3966.0,3086,6904,610,1681,1437,1869,943,2385,3328,1708,1199.0,671,342,1717,8219,-400.0
2012-13,1610612759,San Antonio Spurs,82,58,24,0.707,3976.0,3210,6675,663,1764,1365,1725,666,2721,3387,2058,1206.0,695,446,1427,8448,525.0
2012-13,1610612761,Toronto Raptors,82,34,48,0.415,3996.0,2979,6685,571,1665,1442,1831,871,2426,3297,1765,1124.0,595,392,1836,7971,-121.0
2012-13,1610612762,Utah Jazz,82,43,39,0.524,3976.0,3046,6710,507,1385,1439,1883,989,2457,3446,1859,1210.0,690,515,1750,8038,-7.0
2012-13,1610612764,Washington Wizards,82,29,53,0.354,3971.0,2910,6693,545,1495,1279,1746,887,2652,3539,1775,1238.0,598,376,1681,7644,-208.0
2013-14,1610612737,Atlanta Hawks,82,38,44,0.463,3966.0,3061,6688,768,2116,1392,1782,713,2565,3278,2041,1251.0,680,326,1577,8282,-39.0
2013-14,1610612738,Boston Celtics,82,25,57,0.305,3946.0,2996,6883,575,1729,1325,1706,980,2505,3485,1726,1261.0,584,343,1743,7892,-366.0
2013-14,1610612751,Brooklyn Nets,82,44,38,0.537,3976.0,2931,6391,709,1922,1508,2002,721,2407,3128,1714,1191.0,705,311,1777,8079,-82.0
2013-14,1610612766,Charlotte Bobcats,82,43,39,0.524,3981.0,2976,6730,516,1471,1474,2000,776,2724,3500,1778,1010.0,499,421,1493,7942,-18.0
2013-14,1610612741,Chicago Bulls,82,48,34,0.585,3986.0,2843,6577,508,1459,1486,1908,937,2683,3620,1860,1223.0,594,424,1565,7680,152.0
2013-14,1610612739,Cleveland Cavaliers,82,33,49,0.402,3986.0,3036,6955,584,1640,1398,1861,989,2629,3618,1738,1163.0,579,304,1640,8054,-270.0
2013-14,1610612742,Dallas Mavericks,82,49,33,0.598,3966.0,3249,6858,721,1877,1378,1733,840,2514,3354,1935,1110.0,704,356,1636,8597,197.0
2013-14,1610612743,Denver Nuggets,82,36,46,0.439,3950.985,3147,7042,702,1959,1563,2154,1009,2717,3726,1838,1305.0,615,459,1890,8559,-176.0
2013-14,1610612765,Detroit Pistons,82,29,53,0.354,3956.0,3182,7124,507,1580,1415,2111,1196,2525,3721,1714,1193.0,687,395,1666,8286,-300.0
2013-14,1610612744,Golden State Warriors,82,51,31,0.622,3966.0,3236,7005,774,2037,1303,1731,896,2819,3715,1912,1247.0,642,407,1784,8549,394.0
2013-14,1610612745,Houston Rockets,82,54,28,0.659,3966.0,3118,6603,779,2179,1814,2549,920,2797,3717,1755,1323.0,621,461,1676,8829,374.0
2013-14,1610612754,Indiana Pacers,82,56,26,0.683,3956.0,2949,6573,550,1542,1485,1907,834,2831,3665,1651,1237.0,550,446,1675,7933,361.0
2013-14,1610612746,Los Angeles Clippers,82,57,25,0.695,3951.0,3208,6761,693,1966,1741,2384,858,2668,3526,2016,1136.0,703,397,1767,8850,572.0
2013-14,1610612747,Los Angeles Lakers,82,27,55,0.329,3941.0,3139,6980,774,2032,1390,1835,745,2620,3365,2006,1239.0,611,446,1627,8442,-516.0
2013-14,1610612763,Memphis Grizzlies,82,50,32,0.61,3961.0,3122,6723,405,1147,1235,1666,950,2526,3476,1792,1124.0,631,375,1568,7884,129.0
2013-14,1610612748,Miami Heat,82,54,28,0.659,3976.0,3142,6272,665,1829,1431,1884,627,2397,3024,1847,1212.0,732,367,1596,8380,390.0
2013-14,1610612749,Milwaukee Bucks,82,15,67,0.183,3976.0,2952,6737,548,1553,1377,1843,971,2399,3370,1760,1238.0,541,403,1713,7829,-671.0
2013-14,1610612750,Minnesota Timberwolves,82,40,42,0.488,3971.0,3189,7175,600,1757,1790,2301,1024,2644,3668,1963,1142.0,718,297,1504,8768,219.0
2013-14,1610612740,New Orleans Pelicans,82,34,48,0.415,3971.0,3101,6761,486,1303,1489,1936,933,2486,3419,1745,1129.0,647,523,1857,8177,-222.0
2013-14,1610612752,New York Knicks,82,37,45,0.451,3971.0,3027,6739,759,2038,1271,1670,870,2437,3307,1641,1063.0,631,367,1815,8084,-65.0
2013-14,1610612760,Oklahoma City Thunder,82,59,23,0.72,3961.0,3194,6782,664,1839,1653,2052,887,2781,3668,1794,1256.0,678,501,1858,8705,520.0
2013-14,1610612753,Orlando Magic,82,23,59,0.28,3991.0,3022,6784,563,1596,1307,1714,794,2654,3448,1726,1222.0,630,350,1678,7914,-446.0
2013-14,1610612755,Philadelphia 76ers,82,19,63,0.232,3970.985,3108,7150,577,1847,1362,1918,949,2556,3505,1791,1384.0,765,330,1844,8155,-857.0
2013-14,1610612756,Phoenix Suns,82,48,34,0.585,3951.0,3172,6845,765,2055,1520,2004,928,2601,3529,1563,1258.0,688,374,1798,8629,216.0
2013-14,1610612757,Portland Trail Blazers,82,54,28,0.659,3971.0,3207,7134,770,2071,1569,1926,1022,2786,3808,1904,1125.0,454,387,1576,8753,327.0
2013-14,1610612758,Sacramento Kings,82,28,54,0.341,3966.0,3026,6766,491,1475,1698,2237,990,2656,3646,1547,1249.0,587,318,1849,8241,-238.0
2013-14,1610612759,San Antonio Spurs,82,62,20,0.756,3951.0,3326,6844,698,1757,1289,1642,762,2786,3548,2064,1180.0,604,420,1495,8639,633.0
2013-14,1610612761,Toronto Raptors,82,48,34,0.585,3991.0,2992,6718,713,1917,1608,2055,935,2552,3487,1737,1159.0,577,343,1882,8305,266.0
2013-14,1610612762,Utah Jazz,82,25,57,0.305,3956.0,2951,6652,543,1577,1346,1803,904,2477,3381,1664,1200.0,570,366,1699,7791,-588.0
2013-14,1610612764,Washington Wizards,82,44,38,0.537,4011.0,3177,6920,647,1704,1253,1715,886,2573,3459,1909,1204.0,668,377,1675,8254,104.0
2014-15,1610612737,Atlanta Hawks,82,60,22,0.732,3946.0,3121,6699,818,2152,1349,1735,715,2611,3326,2111,1167.0,744,380,1457,8409,445.0
2014-15,1610612738,Boston Celtics,82,40,42,0.488,3976.0,3193,7211,660,2021,1266,1678,910,2685,3595,2009,1133.0,674,294,1738,8312,13.0
2014-15,1610612751,Brooklyn Nets,82,38,44,0.463,3986.0,3069,6804,541,1633,1359,1817,846,2627,3473,1716,1133.0,576,340,1579,8038,-236.0
2014-15,1610612766,Charlotte Hornets,82,33,49,0.402,3981.0,2913,6932,498,1566,1397,1867,820,2793,3613,1654,976.0,499,448,1494,7721,-260.0
2014-15,1610612741,Chicago Bulls,82,50,32,0.61,3976.0,3001,6797,645,1825,1618,2067,959,2792,3751,1781,1145.0,514,476,1495,8265,246.0
2014-15,1610612739,Cleveland Cavaliers,82,53,29,0.646,3956.0,3089,6739,826,2253,1453,1934,911,2612,3523,1814,1171.0,603,340,1510,8457,367.0
2014-15,1610612742,Dallas Mavericks,82,50,32,0.61,3976.0,3255,7036,732,2082,1386,1843,858,2608,3466,1846,1062.0,663,371,1644,8628,238.0
2014-15,1610612743,Denver Nuggets,82,30,52,0.366,3976.0,3099,7158,660,2032,1462,1991,1012,2653,3665,1788,1166.0,641,367,1882,8320,-291.0
2014-15,1610612765,Detroit Pistons,82,32,50,0.39,3966.0,3041,7038,703,2043,1292,1838,1051,2630,3681,1771,1099.0,623,383,1559,8077,-82.0
2014-15,1610612744,Golden State Warriors,82,67,15,0.817,3946.0,3410,7137,883,2217,1313,1709,853,2814,3667,2248,1185.0,762,496,1628,9016,828.0
2014-15,1610612745,Houston Rockets,82,56,26,0.683,3961.0,3032,6832,933,2680,1525,2133,958,2624,3582,1820,1366.0,777,407,1803,8522,282.0
2014-15,1610612754,Indiana Pacers,82,38,44,0.463,3971.0,2998,6824,612,1740,1373,1817,856,2822,3678,1757,1147.0,505,375,1742,7981,23.0
2014-15,1610612746,Los Angeles Clippers,82,56,26,0.683,3946.0,3228,6830,827,2202,1468,2067,784,2711,3495,2031,1012.0,640,409,1749,8751,540.0
2014-15,1610612747,Los Angeles Lakers,82,21,61,0.256,3986.0,3054,7020,532,1546,1433,1935,952,2647,3599,1715,1086.0,578,366,1741,8073,-561.0
2014-15,1610612763,Memphis Grizzlies,82,55,27,0.671,3981.0,3097,6763,423,1246,1445,1869,856,2634,3490,1777,1094.0,700,347,1567,8062,266.0
2014-15,1610612748,Miami Heat,82,37,45,0.451,3946.0,2885,6330,556,1659,1438,1940,747,2461,3208,1626,1214.0,642,372,1636,7764,-213.0
2014-15,1610612749,Milwaukee Bucks,82,41,41,0.5,3986.0,3083,6722,545,1500,1312,1734,876,2574,3450,1932,1373.0,789,403,1814,8023,35.0
2014-15,1610612750,Minnesota Timberwolves,82,16,66,0.195,3961.0,2986,6820,406,1223,1638,2110,949,2406,3355,1771,1231.0,668,327,1571,8016,-721.0
2014-15,1610612740,New Orleans Pelicans,82,45,37,0.549,3956.0,3108,6795,586,1583,1345,1790,942,2621,3563,1806,1087.0,553,510,1530,8147,65.0
2014-15,1610612752,New York Knicks,82,17,65,0.207,3971.0,2882,6726,560,1614,1211,1575,867,2443,3310,1746,1206.0,575,382,1768,7535,-764.0
2014-15,1610612760,Oklahoma City Thunder,82,45,37,0.549,3966.0,3184,7119,632,1864,1524,2020,1052,2844,3896,1681,1205.0,598,454,1829,8524,179.0
2014-15,1610612753,Orlando Magic,82,25,57,0.305,3951.0,3076,6792,554,1598,1141,1565,822,2607,3429,1692,1221.0,647,314,1714,7847,-469.0
2014-15,1610612755,Philadelphia 76ers,82,18,64,0.22,3961.0,2765,6777,692,2160,1320,1953,978,2536,3514,1683,1453.0,789,487,1778,7542,-736.0
2014-15,1610612756,Phoenix Suns,82,39,43,0.476,3976.0,3178,7038,698,2048,1343,1767,896,2643,3539,1659,1238.0,700,385,1744,8397,-74.0
2014-15,1610612757,Portland Trail Blazers,82,51,31,0.622,3971.0,3175,7049,807,2231,1272,1589,879,2881,3760,1799,1117.0,525,372,1494,8429,347.0
2014-15,1610612758,Sacramento Kings,82,29,53,0.354,3971.0,3010,6617,461,1350,1829,2400,895,2728,3623,1667,1333.0,550,324,1696,8310,-304.0
2014-15,1610612759,San Antonio Spurs,82,55,27,0.671,3991.0,3208,6854,677,1847,1368,1754,806,2772,3578,2000,1146.0,657,444,1564,8461,508.0
2014-15,1610612761,Toronto Raptors,82,49,33,0.598,3971.0,3108,6829,726,2060,1585,2014,881,2526,3407,1701,1057.0,615,357,1712,8527,252.0
2014-15,1610612762,Utah Jazz,82,38,44,0.463,3941.0,2900,6492,610,1781,1391,1929,988,2617,3605,1632,1256.0,623,489,1583,7801,18.0
2014-15,1610612764,Washington Wizards,82,46,36,0.561,3991.0,3139,6790,497,1381,1305,1758,862,2801,3663,1969,1233.0,601,378,1707,8080,59.0
2015-16,1610612737,Atlanta Hawks,82,48,34,0.585,3966.0,3168,6923,815,2326,1282,1638,679,2772,3451,2100,1226.0,747,486,1570,8433,296.0
2015-16,1610612738,Boston Celtics,82,48,34,0.585,3956.0,3216,7318,717,2142,1520,1929,950,2733,3683,1981,1127.0,752,348,1796,8669,263.0
2015-16,1610612751,Brooklyn Nets,82,21,61,0.256,3951.0,3136,6920,531,1508,1286,1699,863,2614,3477,1829,1212.0,627,332,1476,8089,-603.0
2015-16,1610612766,Charlotte Hornets,82,48,34,0.585,3971.0,3036,6922,873,2410,1534,1941,734,2869,3603,1778,1029.0,595,438,1487,8479,223.0
2015-16,1610612741,Chicago Bulls,82,42,40,0.512,3981.0,3165,7170,651,1753,1354,1720,907,2889,3796,1870,1141.0,495,470,1545,8335,-121.0
2015-16,1610612739,Cleveland Cavaliers,82,57,25,0.695,3971.0,3171,6888,880,2428,1333,1783,873,2777,3650,1861,1114.0,551,317,1666,8555,492.0
2015-16,1610612742,Dallas Mavericks,82,42,40,0.512,4001.0,3064,6900,806,2342,1454,1831,751,2781,3532,1813,1047.0,560,306,1595,8388,-25.0
2015-16,1610612743,Denver Nuggets,82,33,49,0.402,3966.0,3093,7003,656,1943,1513,1974,941,2718,3659,1858,1202.0,609,395,1723,8355,-254.0
2015-16,1610612765,Detroit Pistons,82,44,38,0.537,3976.0,3111,7087,740,2148,1399,2095,1021,2777,3798,1594,1110.0,573,304,1557,8361,50.0
2015-16,1610612744,Golden State Warriors,82,73,9,0.89,3976.0,3489,7159,1077,2592,1366,1790,816,2972,3788,2373,1245.0,689,498,1701,9421,882.0
2015-16,1610612745,Houston Rockets,82,41,41,0.5,3966.0,3094,6847,878,2533,1671,2407,930,2601,3531,1821,1307.0,821,430,1790,8737,16.0
2015-16,1610612754,Indiana Pacers,82,45,37,0.549,3976.0,3142,6985,663,1889,1430,1872,847,2779,3626,1741,1219.0,742,391,1641,8377,140.0
2015-16,1610612746,LA Clippers,82,53,29,0.646,3966.0,3141,6759,797,2190,1490,2152,721,2727,3448,1873,1063.0,709,460,1746,8569,351.0
2015-16,1610612747,Los Angeles Lakers,82,17,65,0.207,3946.0,2880,6956,639,2016,1583,2028,878,2645,3523,1478,1124.0,593,337,1662,7982,-784.0
2015-16,1610612763,Memphis Grizzlies,82,42,40,0.512,3966.0,3019,6859,504,1521,1584,2024,916,2497,3413,1697,1090.0,724,350,1783,8126,-184.0
2015-16,1610612748,Miami Heat,82,48,34,0.585,3966.0,3150,6697,498,1480,1406,1889,807,2811,3618,1709,1155.0,553,531,1502,8204,135.0
2015-16,1610612749,Milwaukee Bucks,82,33,49,0.402,3966.0,3145,6740,440,1277,1392,1863,858,2559,3417,1895,1247.0,672,475,1695,8122,-343.0
2015-16,1610612750,Minnesota Timberwolves,82,29,53,0.354,3976.0,3095,6668,455,1347,1753,2213,821,2587,3408,1916,1231.0,656,375,1696,8398,-290.0
2015-16,1610612740,New Orleans Pelicans,82,30,52,0.366,3956.0,3153,7040,702,1951,1415,1823,782,2712,3494,1818,1102.0,633,342,1713,8423,-311.0
2015-16,1610612752,New York Knicks,82,32,50,0.39,3961.0,3022,6886,610,1762,1411,1753,850,2788,3638,1682,1099.0,467,466,1616,8065,-224.0
2015-16,1610612760,Oklahoma City Thunder,82,55,27,0.671,3966.0,3372,7082,678,1945,1616,2067,1071,2916,3987,1883,1305.0,603,487,1691,9038,597.0
2015-16,1610612753,Orlando Magic,82,35,47,0.427,3981.0,3242,7120,636,1818,1249,1649,843,2709,3552,1933,1155.0,673,417,1701,8369,-133.0
2015-16,1610612755,Philadelphia 76ers,82,10,72,0.122,3961.0,2970,6887,764,2255,1284,1850,777,2605,3382,1765,1343.0,680,495,1780,7988,-839.0
2015-16,1610612756,Phoenix Suns,82,23,59,0.28,3941.0,3051,7018,738,2118,1431,1905,943,2733,3676,1701,1410.0,632,313,1858,8271,-546.0
2015-16,1610612757,Portland Trail Blazers,82,44,38,0.537,3961.0,3167,7040,864,2336,1424,1889,948,2782,3730,1748,1200.0,562,380,1782,8622,68.0
2015-16,1610612758,Sacramento Kings,82,33,49,0.402,3961.0,3283,7083,660,1839,1514,2089,868,2760,3628,2009,1326.0,733,368,1676,8740,-203.0
2015-16,1610612759,San Antonio Spurs,82,67,15,0.817,3941.0,3289,6797,570,1518,1342,1672,770,2831,3601,2010,1071.0,677,485,1433,8490,872.0
2015-16,1610612761,Toronto Raptors,82,56,26,0.683,3956.0,3006,6669,708,1915,1702,2190,836,2724,3560,1536,1073.0,636,449,1610,8422,369.0
2015-16,1610612762,Utah Jazz,82,40,42,0.488,3991.0,2957,6593,694,1956,1402,1885,880,2665,3545,1554,1224.0,631,425,1655,8010,147.0
2015-16,1610612764,Washington Wizards,82,41,41,0.5,3951.0,3238,7033,709,1983,1349,1849,743,2688,3431,2005,1186.0,708,323,1708,8534,-41.0
2016-17,1610612737,Atlanta Hawks,82,43,39,0.524,3976.0,3123,6918,729,2137,1484,2039,842,2793,3635,1938,1294.0,672,397,1491,8459,-70.0
2016-17,1610612738,Boston Celtics,82,53,29,0.646,3951.0,3168,6977,985,2741,1536,1903,743,2698,3441,2069,1088.0,617,340,1686,8857,216.0
2016-17,1610612751,Brooklyn Nets,82,20,62,0.244,3951.0,3102,6987,877,2591,1592,2020,721,2879,3600,1756,1356.0,593,387,1726,8673,-552.0
2016-17,1610612766,Charlotte Hornets,82,36,46,0.439,3966.0,3093,7000,824,2347,1591,1953,721,2853,3574,1891,942.0,571,390,1360,8601,16.0
2016-17,1610612741,Chicago Bulls,82,41,41,0.5,3956.0,3169,7141,623,1831,1474,1848,999,2797,3796,1851,1112.0,643,393,1455,8435,35.0
2016-17,1610612739,Cleveland Cavaliers,82,51,31,0.622,3976.0,3275,6963,1067,2779,1431,1913,766,2821,3587,1858,1121.0,539,327,1486,9048,261.0
2016-17,1610612742,Dallas Mavericks,82,33,49,0.402,3956.0,2968,6750,878,2473,1215,1516,647,2516,3163,1705,972.0,614,307,1567,8029,-240.0
2016-17,1610612743,Denver Nuggets,82,40,42,0.488,3951.0,3377,7194,870,2365,1537,1986,966,2837,3803,2077,1226.0,568,323,1567,9161,42.0
2016-17,1610612765,Detroit Pistons,82,37,45,0.451,3961.0,3269,7282,631,1915,1140,1586,908,2838,3746,1732,973.0,574,310,1467,8309,-92.0
2016-17,1610612744,Golden State Warriors,82,67,15,0.817,3956.0,3532,7140,982,2562,1457,1850,770,2873,3643,2491,1211.0,785,555,1585,9503,954.0
